PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS|WHAKOOM URL|PUBLISHER URL|TITLE ID
6313cd63e79ac634c6e80ccd|Dororon! Okuni-chan|dororon-okuni-chan|-|Seinen|Tankōbon|manga|quarterly|completed|4|2/21/2022|Action, Comedy, Supernatural|Author: Hiroyuki Takahashi|/ediciones/616255/dororon_okuni-chan-rustica_con_sobrecubierta|/product-category/dororon-okuni-chan/|642e6438fd26ef2ac9de0016
6313cd63e79ac634c6e80ccd|Double|double|-|Josei|Tankōbon|manga|hiatus|ongoing|4|2/21/2022|Slice of Life|Author: Ayako Noda|/ediciones/616805/double-rustica_con_sobrecubierta/todos|/product-category/double/|642e6438fd26ef2ac9de0017
6313cd63e79ac634c6e80ccd|IRIS Friends In The Immediate Vicinity|iris|-|Seinen|Tankōbon|manga|biannual|completed|4|5/15/2022|Sports|Writer: Kurimoto Kentarou; Illustrator:Kurimoto Saki|/ediciones/620235/iris_friends_in_the_immediate_vicinity-rustica_con_sobrecubierta/todos|/product-category/iris-friends-in-the-immediate-vicinity/|642e6438fd26ef2ac9de0018
6313cd63e79ac634c6e80ccd|Give my regards to Black Jack|give-my-regards-to-black-jack|-|Seinen|Tankōbon|manga|biannual|ongoing|13|5/25/2022|Drama|Author: Shuho Sato|/ediciones/618932/give_my_regards_to_black_jack-rustica_con_sobrecubierta/todos|/product-category/give-my-regards-to-black-jack/|642e6438fd26ef2ac9de0019
6313cd63e79ac634c6e80ccd|Sword Gai|sword-gai|-|Seinen|Tankōbon|manga|quarterly|ongoing|6|2/21/2022|Dark Fantasy|Writer: Toshiki Inoue; Illustrator: Keita Amemiya (characters), Wosamu Kine (scenario)|/ediciones/618077/sword_gai-rustica_con_sobrecubierta/todos|/product-category/swordgai/|642e6438fd26ef2ac9de001a
6313cd63e79ac634c6e80ccd|Oruchuban Ebichu|oruchuban-ebichu|-|Seinen|Tankōbon|manga|annual|ongoing|15|5/24/2022|Sex Comedy|Author: Risa Itō|/ediciones/625070/oruchuban_ebichu-rustica_con_sobrecubierta/todos|/tienda/?product_cat&s=oruchuban+ebichu&post_type=product|642e6438fd26ef2ac9de001b
6313cd63e79ac634c6e80ccd|17 Años|17-anos|-|Seinen|Kanzenban|manga|one-shot|completed|1|1/15/2024|Drama|Writer: Seiji Fujii; Illustrator:Yōji Kamata|-|-|
6313cd63e79ac634c6e80ccd|Los inventos de Peace Electronics|los-inventos-de-peace-electronics|-|Shōnen|Tankōbon|manga|annual|ongoing|24|1/15/2024|Comedy, Sci-Fi|Author: Tatsuki Nouda|/ediciones/655420/los_inventos_de_peace_electronics-rustica_con_sobrecubierta/todos||
6313cd63e79ac634c6e80ccd|Petshop Of Horror|petshop-of-horror|-|-|-|manga|one-shot|completed|1|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|UFO Robot Grendizer|ufo-robot-grendizer|-|-|-|manga|-|-|-|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Antagonista|antagonista|-|-|-|manga|-|-|-|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Hero Mask|hero-mask|-|-|-|manga|-|-|-|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Hiruneburu, El club de la siesta|hiruneburu|-|-|-|manga|-|-|-|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Q on the seaside|q-on-the-seaside|-|-|-|manga|-|-|-|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Un gay en la treintena|un-gay-en-la-treintena|-|-|-|manga|one-shot|completed|1|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Himenospia|himenospia|-|-|-|manga|-|-|-|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Tokko Zero|tokko-zero|-|-|-|manga|-|-|-|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Tokko|tokko|-|-|-|manga|one-shot|completed|1|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Circunstancias Eróticas de la Elfa ama de casa|circunstancias-eroticas-de-la-elfa-ama-de-casa|-|-|-|manga|one-shot|completed|1|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Circunstancias Eróticas de la elfa moderna|circunstancias-de-la-elfa-moderna|-|-|-|manga|one-shot|completed|1|-|-|-|-|-|-
6313cd63e79ac634c6e80ccd|Presidente Yukihira ¡Hábleme de sexo!|presidente-yukihira-hableme-de-sexo|-|-|-|manga|one-shot|completed|1|-|-|-|-|-|-
